v(1),v(2),v(3),v(4)
2.2544499789254937,1.2562015532370567,1.2067315251436868,1.0574385123294925
2.2992950126262945,1.3230969111796471,1.054540489096426,1.1550029922263323
2.2630231116758455,1.3511055097361635,1.013109395608093,1.1812269640894844
2.3043187450111957,1.3383081738096243,1.0018529527754871,1.001814620642555
2.3287447333624822,1.23263156966608,1.2047313408540072,1.1321326184857334
2.2332107375082093,1.3724913193873276,1.1444295266694349,0.8544563148985609
2.223764141741677,1.3387516567326123,1.1215947293072706,0.9912417629811962
2.324970038035094,1.3250046685365333,1.1283123842490985,0.9823303604099628
2.444478991553981,1.2814942704655028,1.2005773151371726,1.0456895879435482
2.228338263642289,1.3924128246051986,1.272909745394471,0.9113922476353505
2.3563454201354044,1.3092450613000253,1.1523580219829606,0.9172474711789809
2.2241006134055628,1.3238516073886377,1.200737844145439,1.2549397683578896
2.345908545865361,1.2720162085551918,1.1584756653520227,0.9867034604385829
2.370074783273283,1.2711263391202738,1.0802916775644305,0.7259997472327666
2.5737991238920714,1.4367723989351344,1.2578597304411148,0.9690542588727986
2.1920776940803597,1.2962732267081072,1.0623845253098048,0.9754751282780061
2.3193332563255415,1.326168260661363,1.155881196351569,1.1103090505141329
2.4041985136756763,1.3072433025581907,1.22725388739445,1.004284070537335
2.2978979896579528,1.3171984947227284,0.9800117266696151,0.9633977405858998
2.2956326765446846,1.3278171995572214,1.117528256261771,0.9132525664667307
2.3289597916829283,1.3520997348444876,1.1622851151192068,1.074834205407512
2.3570155949716054,1.3283131570513076,1.0382498335809536,0.8750338884451156
2.3638068092756397,1.2607148105779578,1.062218243511019,1.1787618020473207
2.3799531514029755,1.2408401195438776,1.1750358526979328,1.0786899896442645
2.3120476417714206,1.3572147853264944,1.2049832951616113,1.087487614947355
2.3000759787945873,1.3025396653317693,1.192290450482796,1.118250376136651
2.354996250443009,1.3721970825234844,1.1423869986736097,0.992374857453557
2.429942857558136,1.4837355148155296,1.1994779855541071,0.9518318712504126
2.3218350630324402,1.251069410217423,1.2122187895647971,1.0860203917685611
2.3299196802248416,1.491850897322464,1.2087017022167836,1.0201899516860087
2.3171018522049174,1.4273684117065844,1.2132286626261357,1.0427180225919304
2.2034628888643137,1.4685691107101628,1.1050872799653135,0.9785948680683274
2.317614647859571,1.3684226682455964,1.0539932237868284,1.0680560287696759
2.3026235410982117,1.3027209737132064,1.1205339004536365,0.9418572799900051
2.275295419417246,1.1548125598724646,1.212821074860107,0.9646187267513653
2.3107558716113754,1.3501364610800308,1.142525851763067,1.055972950513026
2.403658656461921,1.4183111194818614,1.172931828540225,1.0641865585322094
2.4844419404805813,1.5087076090876652,1.1445488215111987,1.1082770656817107
2.3754557997631855,1.3370877490821975,1.2669806017967777,1.061450353705065
2.4490299496549217,1.355514468888374,1.1933082133910586,0.959962764840314
2.594785163250158,1.3025827809232187,1.220402351988629,0.9418464317955432
2.371804987095935,1.3855713771176985,1.2528039291007043,1.1669202362116557
