t(1),t(2),t(3),t(4)
0.24461971584124403,0.2869433002021138,0.3912833200871395,0.4101571488296915
0.24689841929076684,0.26913307454752855,0.3644086038991988,0.4018784474229563
0.2357885223959369,0.26945251626185207,0.38145457952456446,0.40504179093526327
0.25586647741925816,0.28795261965954655,0.36793030196382037,0.39714462991921873
0.2251782668696675,0.2842142757973334,0.34682996273605876,0.3928114721136076
0.23421582589850237,0.27158641317369064,0.3589039838560542,0.41001174232672105
0.2317729219823541,0.26558837013949915,0.37778913183607943,0.3988546952980251
0.23620326844320733,0.2618483040308935,0.3684544861933546,0.3960509901988406
0.24521065789870578,0.25896902336543504,0.37071482584253984,0.39961901588684345
0.23133446523970483,0.3002002545601714,0.3685211918855373,0.39130592904301964
0.22006639780509732,0.26006773623957324,0.3963572005793778,0.3923327723954817
0.2250503100643809,0.28741864559019736,0.3693183119129169,0.3933654191570688
0.2420346995219276,0.2804916171422513,0.36103032492129866,0.38595590466248536
0.22541036670126857,0.2995639775171622,0.3815328040651804,0.3961978284878347
0.23454369527004762,0.25800458537345744,0.3677167434637602,0.4050353894298035
0.25375644082415505,0.2985069645621483,0.3653030159185087,0.3967836127794869
0.23999905003271488,0.2672542083326128,0.3742664705802304,0.41344019905561086
0.23773208734264034,0.2818564440743194,0.3644246276872781,0.421549983769355
0.23761790284643639,0.2821814094621647,0.36101873146499663,0.4127405189926431
0.2416881493463471,0.27772731101036635,0.36050574739807567,0.4176204953853919
0.21970275521020052,0.2790865321129722,0.35964892166921764,0.4199391052819748
0.2135825505770729,0.2753546121844314,0.36510708032232314,0.39819048924963774
0.21904904027725483,0.283084845909379,0.3715079063433271,0.42240165443916683
0.22740699734846326,0.2813408045505336,0.37580882173212515,0.42039000492102846
0.24335387119925553,0.2762309273514729,0.39682413954329604,0.4252865333582101
0.23590991202441564,0.2634919017710171,0.3754175311044677,0.42261396463400835
0.2377339701269228,0.27949495242100064,0.35556516191628856,0.4189898414998842
0.24013586481936666,0.2702963457495124,0.39928578852943014,0.4185019716248461
0.24321681543924287,0.29001789584151216,0.3431947871450987,0.4037276853844944
0.22174870991269816,0.2595967222166934,0.3528601217649322,0.4050505458000058
0.22468774908771272,0.2917926370767192,0.344802227538905,0.3947368556730121
0.2316507815714157,0.2881239369735886,0.38240597825367295,0.3886614773657837
0.24075563248120957,0.27552168161790236,0.38813890492499176,0.41300016353153085
0.22507499373243903,0.27460670540615056,0.3828150960847347,0.3762201007368261
0.21610316692046844,0.27388102290544725,0.3779727943608583,0.3852492820902167
0.2521619801858291,0.29369994792775544,0.37012512692442373,0.40459301494959304
0.20843260681932618,0.27097902620249714,0.37260854983670194,0.40616122771349905
0.25795849722524233,0.2711382800837819,0.3705963483586197,0.4043294263354693
0.23923275124606153,0.2811698324617311,0.3990453489847758,0.4000290375460959
0.2470392956960645,0.2617477780849223,0.39600334641900065,0.4075652157222472
0.23049854945199438,0.2705756919098975,0.34905695081922816,0.392397323867248
0.21899555626745254,0.2718966596722504,0.34787050768558275,0.4105068735759223
0.2456955043908427,0.2829446271875438,0.38164521088717174,0.4144955090572962
0.21595964709344193,0.2700993718779018,0.37228660644515776,0.39614249377347877
0.2188592059987038,0.2845511802842057,0.371970878548848,0.41024188724364724
0.2434466705663404,0.25471130752485405,0.34461867716294975,0.4081437953763983
0.24633484779619488,0.27049627202566695,0.38253161069201985,0.4060067128754172
0.25283665249854875,0.275529744915214,0.3860491201071317,0.4086093673486282
0.2495880578755656,0.2889366827751409,0.36575271524393854,0.3811646865223733
0.237256528016551,0.25887443432118207,0.36745661563385473,0.40865935778100265
0.23484674377010822,0.28030354052149203,0.35521540325544165,0.4003383098230611
0.22560905803822665,0.2862926714068794,0.39185200703471496,0.39072483666832464
0.25258889031099535,0.2839116640660569,0.3891444982501616,0.4081372018184876
0.2575455114166348,0.2708835816531793,0.3619004421663743,0.41007259804177665
0.2422763945899584,0.2889453465844572,0.411461481594475,0.41030769230728537
0.23940943870789205,0.27313077060052005,0.3344479245623772,0.4188932582241691
0.2254919525872934,0.2564073774393517,0.39613884553666956,0.41661636085259146
0.24623383704293256,0.2960514711442578,0.37861308760680756,0.40555232389565954
0.22270641999370308,0.25750406374404605,0.3884163444414061,0.39053038957338715
0.2521667572030173,0.2619084188421712,0.3892987029611237,0.39152834699770606
0.22582569442473832,0.2680360248462417,0.4009971115087858,0.41121935530312953
0.2627100278827354,0.2846521727214223,0.3474382187718662,0.40398201456211996
0.21660656535690898,0.27430917332750476,0.35268649247407197,0.3956918910372739
0.2682064174209188,0.2680222894779011,0.3539840945220779,0.4051161398309064
0.23395319784073523,0.2860708820871027,0.3672095215510534,0.4131012101117114
0.23858880987152153,0.2897018253070318,0.3752709003236803,0.425321117389424
0.24915284647282815,0.285737309941103,0.3702531440532013,0.40457788904173825
0.255746652471774,0.2964505363638338,0.3619982052209472,0.413832221816762
0.24727627634151436,0.2829073422088665,0.36484255481868083,0.4184755007700377
0.2558319104752044,0.3126687567856732,0.3659976178685075,0.4095826461905782
0.24035860805869924,0.280630133847674,0.36769135944303827,0.40624344755206043
0.247785946844699,0.282091219141772,0.3798643449016985,0.42087602541609204
0.22421952707812906,0.28255985981635573,0.3799428139219931,0.40487574529728526
0.24332893137752715,0.2709679306137064,0.37032609201724703,0.38312529763845404
0.2329432759090598,0.28851568827987895,0.37580701030883584,0.38226205358397086
